annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numero_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Millions
2017015;MARDI   ;21/02/2017;2;23/04/2017;19;41;49;13;45;4;3;-13-19-41-45-49-;-3-4-;0;0;0;0;2;364667,6;0;3;56623,5;3;12;6924;96;469;188,9;173;946;130,7;190;928;75,6;2739;14342;22,5;4577;22453;15,2;9321;46637;13,8;15865;81058;11,2;71761;349450;7,8;142512;710356;4,7;0;0;0;0;26;179,1;29;29,6;659;4,4;1140;2,9;3602;3,2;6163;12,3;17702;1,9;164534;2,2;QY8166595;;
2017016;VENDREDI;24/02/2017;3;26/04/2017;13;2;43;22;4;8;9;-2-4-13-22-43-;-8-9-;0;0;0;1;7;154279,6;2;10;25153,4;3;32;3844,7;247;1038;126,4;340;1588;115,3;554;2203;47,1;4703;23372;20,4;9574;43523;11,6;20252;88645;10,7;24115;120351;11,2;126508;587214;6,9;262403;1193938;4,1;0;0;0;0;71;90,9;80;14,9;1094;3,7;2273;2;5512;2,9;8562;12,3;29737;1,6;214190;2,4;BK5927223;;
2017017;MARDI   ;28/02/2017;4;30/04/2017;35;31;10;42;20;2;12;-10-20-31-35-42-;-2-12-;0;0;0;0;0;0;0;4;240661,4;5;17;5232,4;89;410;231,4;140;760;174,2;215;1246;60,2;2108;11402;30,3;3822;20373;17,9;10487;54502;12,6;11320;60555;16,1;61444;308000;9,5;164927;821467;4,3;0;0;1;3974,4;25;36;41;21,9;484;6,3;866;4;2582;4,7;4385;18,1;14503;2,4;139558;2,7;SC4843304;;
2017018;VENDREDI;03/03/2017;5;03/05/2017;47;2;11;29;30;12;1;-2-11-29-30-47-;-1-12-;0;0;0;0;5;233684,5;2;6;45356,4;3;23;5787,4;108;667;212,8;251;1280;154,8;438;2199;51,1;3589;18400;28,1;6080;30390;18;20070;92728;11,1;19598;98747;14,8;89553;438894;10;283486;1319018;4;0;0;1;5598,9;20;63,4;56;22,6;787;5,5;1276;3,9;4455;3,9;7387;15,1;19402;2,6;164434;3,3;NZ0303414;;
2017019;MARDI   ;07/03/2017;6;07/05/2017;6;37;50;41;48;5;4;-6-37-41-48-50-;-4-5-;0;0;0;0;0;0;1;4;275024,5;3;23;4419,6;71;450;240,9;165;1031;146,7;158;1000;85,8;2987;16551;23,8;3796;23140;18;8433;49846;15,8;18759;100253;11,1;64498;368378;9,1;138488;777159;5,3;0;0;2;2131,7;16;60,3;25;38,6;663;4,9;737;5,1;4204;3,1;8652;9,8;14528;2,6;198477;2,1;SS5682118;;
2017020;VENDREDI;10/03/2017;7;10/05/2017;38;49;31;47;36;8;11;-31-36-38-47-49-;-8-11-;0;0;0;0;1;1279253,6;0;4;74488,1;4;31;4701,2;126;671;231,6;240;1493;145,3;311;1616;76,1;3686;22625;25;5525;31548;18,9;12689;70465;16;21402;123981;12,9;87300;488735;9,8;206468;1114364;5,3;0;0;2;2934;28;47,5;51;26;748;6;1140;4,5;4372;4,1;8730;13,4;17744;3;238200;2,4;MD4455708;;
2017021;MARDI   ;14/03/2017;1;14/05/2017;21;5;44;36;3;3;6;-3-5-21-36-44-;-3-6-;0;1;80571199;0;4;244777;1;7;32577,9;6;31;3598,1;128;693;171,6;420;1947;85,2;240;1443;65,2;6261;29265;14,8;6430;34032;13,4;12043;66907;12,9;33038;150788;8,1;97459;506197;7,2;189246;1004145;4,5;0;0;1;4510;34;30;96;10,6;1464;2,3;1448;2,7;7632;1,8;11354;7,9;22479;1,8;180244;2,4;TX0585422;;
2017022;VENDREDI;17/03/2017;2;17/05/2017;19;29;36;6;10;9;3;-6-10-19-29-36-;-3-9-;0;0;0;0;2;518886,3;2;11;21973,5;19;84;1407,4;247;1019;123,7;691;2770;63,5;444;1907;52,3;8612;36355;12,6;9847;41785;11,6;18851;81326;11,3;40772;178397;7,2;128005;564357;6,9;250361;1103923;4,3;0;0;5;1038,3;66;17,8;168;7;2097;1,9;2380;1,9;9559;1,6;14486;7,1;29285;1,6;209216;2,4;NW4943096;;
2017023;MARDI   ;21/03/2017;3;21/05/2017;47;23;20;44;1;11;4;-1-20-23-44-47-;-4-11-;0;0;0;0;2;373296,5;1;5;34778;4;21;4050,2;83;411;220,7;160;965;131,2;190;973;73,8;2631;14392;22,9;3986;19970;17,5;10183;48313;13,6;14340;75836;12,3;62892;311529;9;161171;770119;4,4;0;0;1;3778,6;20;42,8;44;19,4;659;4,4;921;3,6;3518;3,3;5712;13,2;15185;2,2;133844;2,7;GF6982066;;
2017024;VENDREDI;24/03/2017;4;24/05/2017;2;21;17;27;34;5;9;-2-17-21-27-34-;-5-9-;0;0;0;1;7;152897,1;1;5;49856;16;82;1486,9;208;1168;111,3;530;2893;62,7;405;2019;50,9;7233;37976;12,4;8922;44252;11,3;17705;85489;11;35155;185338;7,2;122621;600419;6,7;243772;1154547;4,2;0;0;2;2573,2;56;20,8;109;10,7;1682;2,3;2025;2,2;7982;2;12730;8;27863;1,6;214595;2,3;JB1826572;;
2017025;MARDI   ;28/03/2017;5;28/05/2017;33;13;46;9;31;6;10;-9-13-31-33-46-;-6-10-;0;0;0;1;3;266676,3;2;13;14333,5;10;31;2940;105;594;163,6;218;1160;116,9;252;1377;55,8;3048;16499;21,4;4880;25210;14,8;11705;61436;11,5;15730;85940;11,6;70564;359331;8,3;171132;885792;4,1;1;3426,8;1;409,1;24;36,2;39;22,2;695;4,2;1124;3;3604;3,3;5635;13,6;16513;2,1;138825;2,7;VP7124209;;
2017026;VENDREDI;31/03/2017;6;31/05/2017;24;26;45;17;28;4;12;-17-24-26-28-45-;-4-12-;0;0;0;0;2;585756,2;2;14;19489,8;5;23;5802,7;119;721;197,4;202;1195;166,2;437;2096;53,7;2957;17946;28,9;6544;33464;16,3;19620;95479;10,8;15866;94913;15,4;93678;480911;9,1;277881;1364410;3,9;0;0;1;5348,7;21;57,7;45;26,9;585;7;1424;3,3;3295;5;5245;20,3;20475;2,3;166448;3,1;GB2587770;;
2017027;MARDI   ;04/04/2017;7;04/06/2017;24;33;9;1;34;2;6;-1-9-24-33-34-;-2-6-;0;0;0;1;3;297859,9;1;4;52031,2;11;32;3181,2;114;575;188,8;366;1639;92,4;239;1175;73,1;5226;24843;15,9;5615;27920;14,9;11537;60062;13,1;27843;132897;8,4;86986;426256;7,8;181156;911875;4,5;0;0;1;4282,2;30;32,3;85;11,4;1186;2,7;1279;2,9;6488;2;10842;7,8;20270;1,9;178344;2,3;RG1490364;;
2017028;VENDREDI;07/04/2017;8;07/06/2017;35;10;2;50;19;7;6;-2-10-19-35-50-;-6-7-;0;0;0;1;2;617869,9;1;11;26165,2;10;47;2995,3;199;899;167;463;1974;106,1;443;2014;59;6338;29033;18,8;9805;43568;13,2;18549;88858;12,3;33151;154973;9,9;142244;636764;7,2;261207;1277867;4,4;1;5223,7;1;623,7;45;29,4;82;16,1;1311;3,4;2157;2,4;6739;2,6;11348;10,3;31689;1,6;270162;2,1;NL0180105;;
2017029;MARDI   ;11/04/2017;1;11/06/2017;22;5;31;49;21;8;2;-5-21-22-31-49-;-2-8-;1;1;83397527;0;1;986781,3;0;5;45966,5;8;34;3306,4;111;679;176,6;420;1981;84,4;265;1331;71,3;6187;30230;14,4;6195;31833;14,5;13318;69370;12,6;33325;163646;7,5;95614;479239;7,7;201351;1029199;4,4;0;0;1;4992,2;27;41,9;110;10,2;1535;2,5;1492;2,9;8644;1,7;14130;7;23782;1,9;202451;2,4;FZ9805744;;
2017030;VENDREDI;14/04/2017;2;14/06/2017;33;20;4;14;23;6;10;-4-14-20-23-33-;-6-10-;0;0;0;0;3;325832,5;0;5;45534;11;46;2420,8;193;852;139,4;319;1474;112,4;443;2149;43,7;4364;20801;20,8;7728;34054;13,4;20082;88122;9,8;21277;103554;11,8;104102;459998;7,9;265650;1185499;3,8;0;0;0;0;45;148,1;79;15,5;1048;4;1809;2,6;4960;3,4;8027;13,5;25460;1,9;188344;2,8;ES0300703;;
2017031;MARDI   ;18/04/2017;3;18/06/2017;22;17;45;38;31;12;5;-17-22-31-38-45-;-5-12-;0;0;0;1;1;699968,4;0;3;54343,5;1;14;5695,9;84;426;199,6;123;695;170,8;230;1110;60,6;1778;10301;30,1;3848;19911;16,4;10164;48987;12,6;9886;55483;15,8;54820;292336;9;149691;730439;4,4;0;0;0;0;29;166,5;33;27;425;7,1;973;3,6;2474;4,9;4272;18,4;13901;2,5;135097;2,8;LV9755020;;
2017032;VENDREDI;21/04/2017;4;21/06/2017;2;13;22;49;16;4;5;-2-13-16-22-49-;-4-5-;0;0;0;0;3;347215,1;4;6;40435,1;9;39;3042,7;201;888;142,5;455;1784;99;399;1861;53,8;5288;24839;18,5;9178;40647;12;18346;80735;11,4;27414;129174;10,1;121900;568872;6,8;241731;1108135;4,3;0;0;1;5406,1;54;22,6;122;10;1286;3,2;2277;2,1;6269;2,6;9569;11,2;29920;1,6;219641;2,4;DO0120801;;
2017033;MARDI   ;25/04/2017;5;25/06/2017;11;9;32;19;43;3;9;-9-11-19-32-43-;-3-9-;0;0;0;3;9;87179,1;4;7;26106,4;11;50;1787,7;146;758;125,7;460;2180;61;295;1403;53,8;6219;29523;11,7;6620;31559;11,6;11845;58499;11,8;29375;141385;6,9;87986;431628;6,8;166254;820118;4,4;2;1800,6;1;430;44;20,7;122;7,4;1742;1,7;1703;2,1;7801;1,6;10580;7,6;22865;1,6;159347;2,4;CW4186264;;
2017034;VENDREDI;28/04/2017;6;28/06/2017;20;25;30;39;14;8;2;-14-20-25-30-39-;-2-8-;0;0;0;0;2;582414,6;1;4;67825,5;9;63;2106,3;154;872;162,3;538;2620;75,4;303;1794;62,4;7675;37060;13,9;7266;38755;14;15427;81489;12,6;41870;196312;7,4;111041;557444;7,8;231582;1180984;4,5;0;0;1;5607,7;37;34,3;120;10,5;1766;2,4;1639;3;10153;1,7;16966;6,6;25609;1,9;231199;2,3;GW8857246;;
2017035;MARDI   ;02/05/2017;7;02/07/2017;27;25;19;6;23;12;11;-6-19-23-25-27-;-11-12-;0;0;0;1;2;395316,8;4;13;14165,1;5;20;4503,6;132;573;167,6;140;808;165,9;562;2340;32,5;2113;11636;30,1;4489;22325;16,5;19770;87738;7,9;11007;60687;16,3;59106;300043;9,9;242410;1103995;3,3;0;0;1;4021,4;33;27,6;32;28,4;459;6,7;1048;3,4;2331;5,3;3828;21;14418;2,5;104047;3,7;JK7282062;;
2017036;VENDREDI;05/05/2017;8;05/07/2017;7;43;30;3;35;1;3;-3-7-30-35-43-;-1-3-;0;0;0;0;4;309747,4;0;2;144287,3;5;41;3442,7;218;923;163,1;437;1887;111,3;333;1698;70,1;6761;31310;17,5;9064;43330;13,3;16776;84899;12,9;34485;157020;9,8;136654;636510;7,3;261719;1278175;4,4;0;0;1;5966,1;45;30;109;12,4;1521;3;2061;2,5;7367;2,5;10834;11;30256;1,7;236297;2,4;FS5472198;;
2017037;MARDI   ;09/05/2017;9;09/07/2017;26;22;16;12;8;7;6;-8-12-16-22-26-;-6-7-;0;0;0;3;10;96432,9;1;13;17277,1;13;52;2112,6;331;1263;92,7;502;2087;78,3;546;2231;41,5;6475;28776;14,8;10631;45771;9,8;17476;83417;10,2;26137;127810;9,4;128247;580491;6,2;215343;1076334;4,1;2;2000,2;3;159,2;95;10,6;123;8,2;1455;2,3;2598;1,5;5661;2,4;8351;10,7;30437;1,3;190607;2,3;PU7282438;;
2017038;VENDREDI;12/05/2017;10;12/07/2017;2;28;29;44;20;3;9;-2-20-28-29-44-;-3-9-;0;0;0;0;0;0;4;10;170116,9;12;55;2858;217;923;181,6;570;2642;88,5;407;2063;64,3;9312;40239;15,1;9859;45203;14,2;20646;94832;12,8;49831;223008;7,7;148776;673987;7,6;308110;1398397;4,5;0;0;3;2156;55;26,6;124;11,8;2128;2,3;2212;2,6;11369;1,7;18144;7,1;32462;1,8;264503;2,3;HS7340802;;
2017039;MARDI   ;16/05/2017;11;16/07/2017;20;8;30;11;15;3;8;-8-11-15-20-30-;-3-8-;0;0;0;0;3;372071;6;17;15292,8;23;82;1550,7;334;1365;99,3;722;2998;63,1;571;2487;43,1;7603;37148;13,3;10979;50466;10,3;21220;95673;10,3;33515;173088;8;129875;618881;6,7;252905;1229049;4,1;0;0;2;2527,4;86;13,3;174;6,5;1815;2,1;2713;1,6;7521;2;10709;9,4;30125;1,5;197342;2,5;FH3024294;;
2017040;VENDREDI;19/05/2017;12;19/07/2017;30;12;9;19;11;9;4;-9-11-12-19-30-;-4-9-;0;0;0;1;6;269554,1;5;15;25112,8;36;116;1588,3;599;2155;91,1;1209;4725;58;1066;3998;38,9;13050;58946;12,1;19483;78073;9,7;37198;153428;9,3;53382;263339;7,6;213530;937524;6,4;434244;1938752;3,8;0;0;10;717,5;150;10,8;339;4,7;3034;1,8;4530;1,4;11948;1,8;15448;9,2;48125;1,3;257554;2,7;JP2709533;;
2017041;MARDI   ;23/05/2017;13;23/07/2017;15;8;42;25;27;1;4;-8-15-25-27-42-;-1-4-;0;0;0;0;4;334478,8;4;8;38951,9;13;51;2988,6;233;1066;152,5;418;2117;107,1;530;2582;49,8;5692;28867;20,5;9330;47039;13,3;21392;109569;10,8;28912;149808;11,1;127530;642045;7,8;290666;1505250;4,1;0;0;2;2887,8;46;28,4;76;17,2;1260;3,5;1922;2,6;5930;3;9734;11,8;27592;1,9;219397;2,5;JA5768729;;
2017042;VENDREDI;26/05/2017;14;26/07/2017;36;5;39;7;26;2;10;-5-7-26-36-39-;-2-10-;0;0;0;1;4;427598,1;4;9;44263,3;8;55;3542,8;194;1230;168,9;451;2572;112,7;488;2715;60,6;7188;37779;20;9240;52565;15,2;22413;127337;11,9;37487;196462;10,9;143250;787862;8,1;344302;1895568;4,1;0;0;1;6827,3;42;36,8;104;14,8;1594;3,3;1880;3,2;8507;2,4;13692;9,9;30989;2;252391;2,6;KR6327590;;
2017043;MARDI   ;30/05/2017;15;30/07/2017;27;48;38;12;7;9;6;-7-12-27-38-48-;-6-9-;0;0;0;0;3;484442,6;2;17;19911,5;11;54;3066;275;1266;139,4;603;2982;82,6;623;2866;48,7;8419;40909;15,7;11611;53492;12,7;24619;115921;11,1;40926;206300;8,8;159162;747463;7,3;336963;1604043;4,1;0;0;2;3265;69;21,4;144;10,2;1933;2,6;2612;2,2;8759;2,3;13761;9,4;34576;1,7;258196;2,4;JN6289580;;
2017044;VENDREDI;02/06/2017;1;02/08/2017;8;42;33;24;10;9;3;-8-10-24-33-42-;-3-9-;0;1;153873716;1;7;290732;6;23;20608,8;25;111;2088,7;374;1827;135,3;949;4387;78,6;895;3983;49,1;12961;61745;14,6;15214;74589;12,7;32932;158010;11,4;67935;329474;7,7;206108;1025852;7,4;441133;2159425;4,3;1;7698,4;3;306,4;92;21,2;219;8,9;2806;2,3;3160;2,4;15069;1,7;23976;7,1;43145;1,8;347477;2,4;FZ0366137;;
2017045;MARDI   ;06/06/2017;2;06/08/2017;25;40;20;22;37;7;3;-20-22-25-37-40-;-3-7-;0;0;0;0;0;0;1;3;318587,2;5;31;2848,8;108;514;183,2;337;1657;79,3;199;1063;70,1;5914;27783;12,3;4476;22954;15,8;8804;47389;14,4;35719;162020;5,9;76914;367668;7,9;142387;733727;4,8;0;0;3;1351,3;27;34;79;11,6;1464;2,1;1086;3,3;8876;1,4;15913;5;18196;2;187567;2,1;EN0269114;;
2017046;VENDREDI;09/06/2017;3;09/08/2017;9;39;27;20;43;11;10;-9-20-27-39-43-;-10-11-;0;0;0;0;1;1114645,4;4;11;23601,2;3;17;7469,7;159;699;193,7;237;1351;139,9;467;2157;49,7;3349;18657;26,4;6420;31122;16,7;19957;90499;10,9;18376;101443;13,7;88853;431977;9,7;279874;1276750;4;0;0;0;0;42;161,4;57;21,9;713;5,9;1414;3,4;3959;4,3;6183;17,8;19968;2,5;170769;3,1;NM2105802;;
2017047;MARDI   ;13/06/2017;4;13/08/2017;12;3;22;27;49;11;4;-3-12-22-27-49-;-4-11-;0;0;0;0;2;407800,2;3;12;15830,2;4;26;3573,7;173;611;162,2;238;1279;108,1;446;1735;45,2;3348;16878;21,4;6226;28149;13,5;17044;74209;9,7;16300;84363;12,1;82492;386576;7,9;218940;997580;3,7;0;0;2;2087,8;61;15,5;45;21;847;3,8;1593;2,3;4027;3,2;6246;13,3;20169;1,8;139782;2,9;LE7899440;;
2017048;VENDREDI;16/06/2017;5;16/08/2017;38;42;15;17;41;9;12;-15-17-38-41-42-;-9-12-;0;0;0;0;8;140525,5;0;13;20141,5;2;20;6403,6;123;653;209,2;181;1070;178,2;319;1684;64,2;2785;15981;31,1;5701;29474;17,8;15159;75357;13,2;15354;85775;16,4;86405;442692;9,5;238830;1159464;4,4;0;0;1;5549,6;24;52,4;41;30,6;540;7,9;1231;4;3144;5,4;5459;20,3;19170;2,6;199006;2,7;IV9962182;;
2017049;MARDI   ;20/06/2017;6;20/08/2017;44;43;11;18;26;8;10;-11-18-26-43-44-;-8-10-;0;0;0;0;3;281580,8;0;4;49187,5;4;24;4009,8;92;533;192,5;196;1130;126,8;245;1275;63,7;3371;16821;22,2;5049;25527;15,4;12599;60458;12,3;17193;87600;12;75134;379200;8,3;182340;897423;4,3;0;0;0;0;20;251,9;53;17,5;815;3,8;1198;3;4182;3;6507;12,6;17721;2,1;146253;2,7;DS8988661;;
2017050;VENDREDI;23/06/2017;7;23/08/2017;4;31;21;3;38;3;7;-3-4-21-31-38-;-3-7-;0;0;0;0;4;299869,8;0;4;69843;9;45;3036,6;129;725;201;712;3326;61,1;307;1557;74,1;11441;53795;9,8;8219;41003;13,7;14600;77727;13,6;59473;271863;5,5;130282;637300;7;228716;1198651;4,6;0;0;3;1850,1;30;41,9;161;7,8;2671;1,6;1923;2,5;13675;1,2;19240;5,7;29082;1,7;240375;2,2;KI7067839;;
2017051;MARDI   ;27/06/2017;8;27/08/2017;45;17;21;9;28;1;3;-9-17-21-28-45-;-1-3-;0;0;0;2;7;134619,5;1;7;31354,4;8;50;2147;228;1018;112,4;336;1645;97,1;394;2042;44,3;4640;23269;17,9;7850;38384;11,4;16326;82034;10,1;22964;117443;10;99339;497070;7,1;208628;1070350;4;0;0;3;1437,2;58;16,8;65;15;1141;2,9;1848;2;5181;2,5;7864;10,9;23550;1,6;167614;2,5;AY3993858;;
2017052;VENDREDI;30/06/2017;Super Jackpot et tirages suivants;30/08/2017;35;50;39;17;47;6;8;-17-35-39-47-50-;-6-8-;0;1;100000000;1;6;312627,5;2;7;62412,4;13;51;4190;250;1145;199;547;2819;112,8;597;2660;67,8;9212;42873;19,3;11175;54632;16;24536;120296;13,8;54966;239603;9,8;171968;819304;8,6;373658;1773960;4,8;0;0;1;8928,6;43;47;117;17,2;1709;4;2003;3,9;10553;2,6;21646;8,2;32838;2,4;389123;2,2;TQ5981380;;
2017053;MARDI   ;04/07/2017;Super Jackpot et tirages suivants;03/09/2017;22;25;10;37;49;8;5;-10-22-25-37-49-;-5-8-;0;0;0;0;2;379863,3;3;4;44237,2;10;41;2111;118;576;160,2;364;1875;68,7;238;1228;59,5;5206;26316;12,7;5285;26491;13,4;11340;53474;12,5;27197;139075;6,8;78716;384356;7,4;163052;761876;4,6;0;0;3;1333,2;38;23,8;105;8,6;1199;2,5;1311;2,7;6679;1,8;11151;7,1;18903;1,9;161035;2,4;EB6039519;;
2017054;VENDREDI;07/07/2017;1;06/09/2017;45;37;20;35;11;3;6;-11-20-35-37-45-;-3-6-;0;1;28975630;1;5;218998,7;2;10;25503,6;6;31;4024;153;821;162;361;1682;110,4;316;1598;65,9;6363;26983;17,9;6550;32427;15,8;13587;67850;14,2;38007;157645;8,7;103635;491840;8,3;211566;1022080;4,9;0;0;2;2722,1;25;49,3;85;14,5;1398;3;1363;3,5;8613;1,9;15412;7;22361;2,2;237780;2,2;ND8138621;;
2017055;MARDI   ;11/07/2017;1;10/09/2017;50;26;42;22;14;8;10;-14-22-26-42-50-;-8-10-;0;1;17000000;0;2;369210,2;0;5;34397,3;5;29;2900,8;76;443;202,5;204;955;131,1;208;1072;66,2;2737;14187;23;4120;21345;16,2;10087;50952;12,8;15303;75221;12,3;63232;319253;8,6;154266;762345;4,4;0;0;2;1916;14;62;44;19,7;651;4,5;969;3,5;3789;3,1;6450;11,8;14932;2,3;141126;2,6;EQ6437626;;
2017056;VENDREDI;14/07/2017;2;13/09/2017;21;14;20;47;11;10;7;-11-14-20-21-47-;-7-10-;0;0;0;0;1;1004016,9;2;3;77948,9;10;38;3010;165;709;172;315;1446;117,7;311;1532;63;4581;21105;21;7279;34252;13,7;15603;75388;11,8;23485;108366;11,6;103959;500930;7,5;222956;1108450;4,1;0;0;2;2337,5;46;23;72;14,7;1047;3,4;1709;2,4;5538;2,6;8700;10,7;23859;1,7;184400;2,4;UQ3542719;;
2017057;MARDI   ;18/07/2017;3;17/09/2017;41;27;1;45;25;7;5;-1-25-27-41-45-;-5-7-;0;0;0;1;5;148215,2;0;2;86302,5;1;21;4020,3;83;474;189,9;294;1499;83,8;162;902;79;5331;25984;12,6;4454;22709;15,2;7971;42754;15,3;29894;143431;6,4;72998;366785;7,5;131092;675226;5;0;0;0;0;12;375,6;70;11,8;1242;2,2;1053;3,1;7205;1,5;12141;6;17328;1,9;168079;2,1;JT6900372;;
2017058;VENDREDI;21/07/2017;4;20/09/2017;8;1;26;49;9;9;5;-1-8-9-26-49-;-5-9-;0;0;0;0;2;524034;2;3;81368,9;16;52;2296,1;221;895;142,3;565;2398;74,1;408;1716;58,7;7476;35167;13,2;9919;41037;11,9;18196;76145;12,1;36254;182995;7,1;126935;564974;6,9;239839;1069100;4,5;0;0;6;840,2;53;21,5;137;8,3;1898;2;2328;1,9;8426;1,8;11499;8,7;29602;1,5;201398;2,4;FQ4069297;;
2017059;MARDI   ;25/07/2017;5;24/09/2017;14;44;43;48;12;11;2;-12-14-43-44-48-;-2-11-;0;0;0;0;1;789831,2;0;3;61320,2;4;23;3912,2;68;376;255,2;187;955;140,2;153;931;81,6;3102;15590;22,4;3752;20402;18,1;8997;46814;14,9;17621;88833;11,1;63786;327437;9;155602;772642;4,7;0;0;0;0;19;245,1;35;24,5;707;4,1;811;4,1;4139;2,8;7095;10,7;14917;2,3;142703;2,6;MU4802192;;
2017060;VENDREDI;28/07/2017;1;27/09/2017;41;9;31;5;29;4;2;-5-9-29-31-41-;-2-4-;0;1;57871110;0;3;386027,3;1;7;38532,9;11;57;2314,6;174;819;171,8;405;1984;99;325;1850;60,2;5949;28366;18;8053;38374;14,1;17009;83876;12,2;31925;148371;9,7;121016;570357;7,6;251444;1218959;4,3;0;0;2;2700,1;34;36;95;12,8;1278;3,2;1762;2,7;6766;2,4;11147;9,6;26828;1,8;225229;2,3;GK7737557;;
2017061;MARDI   ;01/08/2017;2;01/10/2017;29;24;21;30;14;10;8;-14-21-24-29-30-;-8-10-;0;0;0;0;4;178435,6;5;12;13853,2;6;25;3252,4;128;579;149,7;261;1096;110,4;338;1464;46,9;2962;14436;21,9;5026;23699;14,1;12581;58934;10,7;15261;74867;11,9;66327;330638;8,1;166940;810694;4;0;0;0;0;36;124,1;61;13,5;722;3,9;1202;2,7;3900;2,9;5993;12,1;15841;2;130090;2,7;QR8281574;;
2017062;VENDREDI;04/08/2017;3;04/10/2017;29;30;41;40;36;9;2;-29-30-36-40-41-;-2-9-;0;0;0;0;4;257083,6;0;5;47902,1;3;25;4686;83;519;240,7;236;1197;145,7;188;1076;91,9;4414;22690;20;4484;24919;19,3;9487;52567;17,3;28908;137455;9,3;78743;420217;9,2;164932;879894;5,3;0;0;0;0;18;338;42;26,7;966;3,9;949;4,6;6891;2,2;14436;6,8;16741;2,6;237617;2;ER2453892;;
2017063;MARDI   ;08/08/2017;1;08/10/2017;26;15;40;25;41;4;5;-15-25-26-40-41-;-4-5-;0;1;36563144;1;4;190106,2;0;5;35422,3;5;24;3609,6;86;485;190,5;208;1171;110,1;189;975;75;3269;17221;19,5;4114;23975;14,8;7958;45521;14,8;17888;90484;10,5;67529;369504;7,7;131571;705906;4,9;0;0;0;0;24;191,9;52;16,3;734;3,9;939;3,5;3938;2,9;7247;10,3;15315;2,2;165308;2,2;FD7396069;;
2017064;VENDREDI;11/08/2017;2;11/10/2017;39;48;28;46;18;12;5;-18-28-39-46-48-;-5-12-;0;0;0;1;3;331152,7;1;5;46277,5;6;33;3429,6;134;646;186,8;178;1027;164;354;1536;62,2;2688;14822;29,6;5342;27002;17,2;13863;66401;13,2;14587;79233;15,7;76426;384165;9,7;200560;938643;4,8;0;0;1;4906,1;20;55,6;43;25,8;607;6,2;1085;4;3058;4,9;5447;18;16078;2,7;176579;2,7;IM0515317;;
